Pig,Weight,Titer,Eartag
1,7.25,0.5809 ,LY04201
2,7.8,0.5052 ,LY04202
3,7.5,0.3446 ,LY04208
4,7.4,0.3612 ,LY04210
5,7.9,0.3651 ,LY04211
6,7.2,0.2270 ,LY04218
7,7.15,0.5642 ,LY04223
8,7.2,0.4007 ,LY04224
9,8,0.6384 ,LY04225
10,8.1,0.4277 ,LY04231
11,7.5,0.2933 ,LY04232
12,8.35,0.2541 ,LY04234
13,7.1,0.5768 ,LY04237
14,8.2,0.3187 ,LY04240
15,8,0.6323 ,LY04245
16,8.5,0.3855 ,LY04249
17,7.2,0.5226 ,LY04251
18,7.7,0.4807 ,LY04257
19,7.5,0.2508 ,LY04591
20,8,0.2858 ,LY04593
21,7.8,0.3263 ,LY04597
22,8.8,0.1517 ,LY04805
23,8,0.4716 ,LY04809
24,8.5,0.3950 ,LY04812
25,8.3,0.6148 ,LY04813
26,8.4,0.3601 ,LY04818
27,7.5,0.5938 ,LY04820
28,8.2,0.5300 ,LY04821
28,8.3,0.3273 ,LY04823
29,8,0.4394 ,LY04824
30,8.4,0.3080 ,LY04830
31,8.3,0.2349 ,LY04834
32,7.7,0.3569 ,LY04835
33,7.75,0.3828 ,LY04836
34,8.1,-0.0434 ,LY04981
35,7.8,0.3534 ,LY04987
36,8.5,0.3043 ,LY04991
37,8.6,0.3250 ,LY04997
38,8.4,0.3348 ,LY05000
39,7.2,0.3856 ,LY05304
40,7.75,0.7324 ,LY05305
41,7.4,0.4674 ,LY05308
42,7.15,0.3772 ,LY05309
43,7.6,0.3254 ,LY05312
44,7.85,0.4031 ,LY05313
45,8.3,0.7600 ,LY05317
46,7.2,0.6526 ,LY05318
47,7.1,0.6742 ,LY05319
48,8.1,0.4080 ,LY05320
49,8.8,0.3674 ,LY05326
50,7.9,0.5467 ,LY05327
52,7.5,0.6148 ,LY05328
53,7.9,0.4652 ,LY05334
54,8.1,0.5139 ,LY05336
55,7.55,0.3785 ,LY05337
56,7.3,0.2460 ,LY05347
57,7.5,0.7963 ,LY05349
57,8.36,0.3120 ,LY05468
58,7.3,0.4194 ,LY05471
60,7.8,0.2501 ,LY05472
61,7.7,0.3898 ,LY05473
62,7.2,0.7824 ,LY05475
63,7.4,0.4727 ,LY05476
64,7.7,0.3733 ,LY05477
65,7.9,0.4565 ,LY05482
66,7.6,0.1213 ,LY05486
67,7.1,0.4240 ,LY05496
68,8,0.4762 ,LY05499
69,8.6,0.3996 ,LY06509
70,8.3,0.5823 ,LY06510
71,8.6,0.4570 ,LY06512
72,8.4,0.3436 ,LY06513
73,8.1,0.2858 ,LY06516
74,8.2,0.3368 ,LY06519
75,7.9,0.2498 ,LY07003
76,7.7,0.3411 ,LY07007
77,8,0.4682 ,LY07010
78,7.8,0.2576 ,LY07011
79,8.3,0.6021 ,LY07013
80,8.7,0.7973 ,LY07015
81,8,0.3904 ,LY07017
82,8.6,0.4640 ,LY07021
83,8,0.6072 ,LY07024
84,8,0.7545 ,LY07027
85,7.15,0.5480 ,LY07028
86,7.4,0.5221 ,LY07029
87,8.1,0.4618 ,LY07030
88,7.2,0.4727 ,LY07031
89,7.5,0.3259 ,LY07032
90,8.4,0.3702 ,LY07033
91,7.9,0.3251 ,LY07034
92,7.25,0.3366 ,LY07035
93,7.6,0.3655 ,LY07038
94,8.2,0.6426 ,LY07041
95,8.4,0.8159 ,LY07051
96,8.3,0.6620 ,LY07055
97,8.6,0.6728 ,LY07063
98,7.7,0.4812 ,LY07072
99,7.4,0.3126 ,LY07076
100,7.3,0.3175 ,LY07077
101,7.7,0.4307 ,LY07078
102,8.4,0.2635 ,LY07085
103,7.9,0.1552 ,LY07089
104,7.9,0.1896 ,LY07090
105,7.1,0.5629 ,LY07094
106,8.8,0.7012 ,LY17170
107,8.8,0.4875 ,LY17174
108,7.8,0.8027 ,LY17175
109,7.8,0.4291 ,LY17180
110,7.5,0.4838 ,LY17184
111,8.9,0.3799 ,LY17188
112,7.2,0.3246 ,LY17190
113,8.4,0.3910 ,LY17191
114,7.25,0.4016 ,LY17192
115,7.55,0.4396 ,LY17200
116,8.6,0.5496 ,LY28502
117,8.7,0.6120 ,LY28505
118,8.15,0.6390 ,LY28512
119,7.75,0.2444 ,LY28513
120,7.3,0.4368 ,LY28515
121,8.3,0.8276 ,LY28517
122,8.2,0.5860 ,LY28520
123,7.5,0.5696 ,LY28529
124,8.15,0.2951 ,LY28532
125,7.2,0.3629 ,LY28533
126,8.1,0.6123 ,LY28534
127,7.8,0.5028 ,LY28537
128,7.6,0.8583 ,LY28538
129,7.8,0.7788 ,LY28540
130,7.2,0.2635 ,LY28541
131,7.8,0.4056 ,LY28544
132,7.6,0.8882 ,LY28551
133,7.5,0.7307 ,LY28554
134,7.85,0.5722 ,LY28556
135,7.1,-0.0027 ,LY28564
136,8,0.3978 ,LY28566
137,8.8,0.2909 ,LY28569
138,8.1,0.5262 ,LY28570
139,7.9,0.4672 ,LY28571
140,8.25,0.2672 ,LY28582
141,8.5,0.4552 ,LY28591
142,7.75,0.1415 ,LY28594
143,8.06,0.2854 ,LY28598
144,8.1,0.2943 ,LY28599
145,7.5,0.2583 ,LY28600
146,8.2,0.6127 ,LY29602
147,7.7,0.4841 ,LY29604
148,8.25,0.4572 ,LY29610
149,7.7,0.2786 ,LY29614
150,8.8,0.2992 ,LY29617
151,8.3,0.3049 ,LY29619
152,8.9,0.3828 ,LY29622
153,7.9,0.4894 ,LY29623
154,8.7,0.4697 ,LY29624
155,7.5,0.5945 ,LY29627
156,7.7,0.3891 ,LY29629
157,8.9,0.3392 ,LY29630
158,7.2,0.4564 ,LY29633
159,7.5,0.5879 ,LY29639
160,8.6,0.2821 ,LY29640
161,7.8,0.1711 ,LY29641
162,7.5,0.1966 ,LY29643
163,7.6,0.2696 ,LY29656
164,8.1,0.4570 ,LY29658
165,8,0.4173 ,LY29659
166,8.3,0.4127 ,LY29664
167,8,0.4437 ,LY29665
168,8.3,0.2836 ,LY29667
169,8.9,0.3441 ,LY29671
170,7.8,0.3527 ,LY29673
171,7.9,0.3208 ,LY29674
172,7.8,0.6169 ,LY29676
173,7.6,0.5001 ,LY29678
174,8.8,0.7995 ,LY29680
175,7.65,0.2492 ,LY29693
176,7.8,0.2438 ,LY29695
177,8.36,0.4485 ,LY29696
178,7.4,0.5665 ,LY29697
179,8,0.5087 ,LY29698
180,7.55,0.5491 ,LY29699
